packet_size,interarrival_ms,src_port,dst_port,service_port,label
1254,5.387,20658,8080,8080,file
1293,11.534,10872,8081,8081,file
238,34.622,12030,5060,5060,voip
1345,67.446,56260,5004,5004,video
551,52.082,51914,8080,8080,web
432,478.868,14770,8080,8080,web
1475,11.959,39950,443,443,file
1417,23.12,44596,8554,8554,video
1500,1.157,44738,990,990,file
164,14.982,31395,10002,10002,voip
1124,0.88,32545,8080,8080,file
516,45.033,30888,5061,5061,voip
356,439.4,57053,8443,8443,web
1448,82.015,25829,8554,8554,video
221,25.268,53913,443,443,voip
181,10.574,49923,8443,8443,voip
1156,4.899,27315,8081,8081,file
264,23.624,25405,10000,10000,voip
1500,3.559,54008,8443,8443,file
223,21.015,52313,10002,10002,voip
228,11.327,44624,10002,10002,voip
1403,17.09,21316,5004,5004,video
1428,5.935,57194,20,20,file
1264,26.619,24901,1935,1935,video
1423,2.011,40325,990,990,file
733,113.673,63326,443,443,web
242,22.701,45667,443,443,voip
1019,419.941,21428,8443,8443,web
162,33.19,19294,10001,10001,voip
1132,52.857,2444,5005,2444,video
211,11.715,60824,443,443,voip
1251,3.704,39771,20,20,file
162,35.198,51184,10001,10001,voip
220,11.636,19359,10002,10002,voip
144,28.154,49591,8443,8443,voip
1456,8.542,3758,20,20,file
171,23.933,62965,5060,5060,voip
1139,48.656,24838,8443,8443,video
1082,1.573,47155,8443,8443,file
198,30.993,11574,443,443,voip
797,36.831,6929,443,443,video
1174,5.054,19639,443,443,file
530,394.333,39808,8080,8080,web
1221,1.96,11346,8081,8081,file
105,13.641,21503,5060,5060,voip
1168,10.855,49218,8443,8443,video
735,319.169,35943,8080,8080,web
1500,4.679,9311,8443,8443,file
1193,15.716,5894,8080,5894,file
355,457.837,61254,80,80,web
1131,35.374,35255,1935,1935,video
1500,7.317,19959,21,21,file
1423,6.865,31635,8443,8443,file
1066,578.879,31358,443,443,web
1126,67.165,30232,1935,1935,video
1233,0.544,33582,8443,8443,file
1258,1.97,1346,8080,1346,file
1274,143.196,45320,5004,5004,video
1115,11.193,35179,21,21,file
1500,170.167,31061,1935,1935,video
1500,1.576,64441,20,20,file
1230,20.499,64702,8080,8080,video
200,22.049,22523,10001,10001,voip
1338,31.647,30235,1935,1935,video
936,35.418,46275,1935,1935,video
1239,45.399,42272,8080,8080,video
179,20.976,60754,8080,8080,voip
488,54.177,59332,443,443,web
991,17.129,39498,5005,5005,video
343,7.899,51242,5061,5061,voip
754,17.539,24475,8554,8554,video
1187,2.126,19113,443,443,file
193,75.324,41516,5060,5060,voip
1287,19.224,6428,1935,1935,video
127,18.187,31221,8443,8443,voip
977,39.826,19181,8554,8554,video
1161,34.559,4617,8443,4617,video
1214,43.643,45328,5004,5004,video
322,228.944,32768,443,443,web
1500,4.64,41072,21,21,file
158,16.802,1425,8443,1425,voip
1127,30.372,26668,5004,5004,video
166,15.17,56102,443,443,voip
237,7.566,63244,443,443,voip
1500,19.472,39975,1935,1935,video
154,20.206,19514,443,443,voip
1315,6.609,38524,443,443,file
1412,41.862,56069,5005,5005,video
1030,43.802,60929,8080,8080,video
126,17.876,18604,8080,8080,voip
791,196.209,1868,80,80,web
1125,38.8,25200,8080,8080,video
174,14.088,39621,8443,8443,voip
157,29.165,26030,8443,8443,voip
1091,4.251,49642,8081,8081,file
224,11.846,30333,10001,10001,voip
1085,16.348,10127,5004,5004,video
1439,4.941,3690,21,21,file
1430,13.591,39849,20,20,file
1069,258.856,23205,8443,8443,web
60,67.187,41733,5061,5061,voip
1182,6.248,41644,20,20,file
1049,49.88,4326,443,443,video
114,12.799,27179,10002,10002,voip
1121,51.789,14466,443,443,video
1500,5.682,21709,989,989,file
1500,17.068,2013,5005,2013,video
407,110.87,59552,10000,10000,voip
181,450.724,32306,443,443,web
1403,20.702,15576,8080,8080,video
988,20.017,28272,8554,8554,video
1404,45.137,19604,8554,8554,video
1500,3.04,18230,21,21,file
1169,7.771,6047,443,443,file
306,423.581,27391,80,80,web
1500,34.946,22348,8443,8443,video
203,13.115,16785,5060,5060,voip
1199,27.595,23714,8443,8443,video
1373,5.876,59829,21,21,file
1500,5.219,7395,20,20,file
969,270.845,6319,443,443,web
1240,30.093,18596,8080,8080,video
1435,30.944,24255,443,443,video
1423,1.086,46877,8081,8081,file
421,414.004,58371,8080,8080,web
1047,201.088,45399,8080,8080,web
1421,22.507,2422,1935,1935,video
187,13.772,25541,8443,8443,voip
1191,72.813,50185,8554,8554,video
1266,42.102,2269,1935,1935,video
168,10.148,48397,5061,5061,voip
149,21.69,53379,10000,10000,voip
1444,56.106,59666,8080,8080,video
522,161.404,49000,443,443,web
731,242.414,17053,8443,8443,web
182,7.504,30714,443,443,voip
694,442.486,19134,443,443,web
986,15.259,61270,8080,8080,video
1228,6.955,39570,5004,5004,video
183,21.888,23477,8443,8443,voip
926,66.101,42468,80,80,web
1289,15.817,10790,8443,8443,file
1500,2.587,49564,443,443,file
1254,26.16,24940,5004,5004,video
824,47.635,50116,1935,1935,video
1268,27.992,43858,8080,8080,video
797,421.722,43672,443,443,web
905,335.144,23405,8080,8080,web
1500,3.025,46007,8081,8081,file
1101,6.732,11150,443,443,file
953,396.507,12770,8080,8080,web
649,133.752,5778,8080,5778,web
1341,36.023,9772,8443,8443,video
1268,10.476,7108,8443,7108,file
960,108.127,22840,8080,8080,web
163,20.04,12169,5061,5061,voip
148,17.418,61510,8443,8443,voip
1270,5.045,3838,20,20,file
515,30.392,15136,8443,8443,web
1122,36.134,54192,5004,5004,video
1463,42.771,6354,8443,6354,video
848,32.32,44517,1935,1935,video
176,203.484,64554,443,443,web
1172,17.038,33216,443,443,video
1184,2.055,52277,990,990,file
218,21.828,36739,10002,10002,voip
519,170.675,45424,8443,8443,web
899,569.713,31827,8443,8443,web
940,35.838,47721,8554,8554,video
1051,615.135,61086,8080,8080,web
444,44.576,7018,10000,7018,voip
563,28.96,33507,443,443,video
189,27.646,51640,10001,10001,voip
1194,22.812,7937,990,990,file
1500,4.209,34826,20,20,file
1070,48.493,6019,8443,6019,video
1178,31.598,20010,8080,8080,video
167,11.856,36104,10001,10001,voip
462,253.225,2672,8080,2672,web
288,43.426,28615,8080,8080,voip
1163,2.09,36357,20,20,file
1470,3.325,48637,21,21,file
1147,4.989,58390,8443,8443,file
934,318.027,6849,443,443,web
935,27.601,24641,443,443,video
638,311.905,35936,8080,8080,web
1348,42.495,52719,443,443,video
140,17.632,9222,10000,9222,voip
1041,40.33,42284,5004,5004,video
1082,53.71,36606,5004,5004,video
1456,2.037,34612,8080,8080,file
1500,2.045,56251,8080,8080,file
151,25.309,5703,8080,5703,voip
144,7.76,30158,10000,10000,voip
1052,3.211,36094,990,990,file
202,19.442,39038,5060,5060,voip
649,176.902,25208,443,443,web
1351,1.116,42719,20,20,file
1248,2.68,5484,20,20,file
183,32.12,48177,443,443,voip
790,533.707,35515,443,443,web
1105,47.283,39682,8443,8443,video
60,21.312,8225,5060,5060,voip
1201,2.124,37823,8081,8081,file
1167,30.989,17434,8443,8443,video
1500,5.352,4303,989,989,file
534,615.314,23164,8443,8443,web
1500,9.158,6297,20,20,file
1288,32.975,45814,5004,5004,video
181,12.238,37912,10000,10000,voip
1500,7.208,20896,443,443,file
1386,31.257,56024,8080,8080,video
1421,1.473,36315,20,20,file
184,8.191,21034,10001,10001,voip
1386,4.654,30823,20,20,file
1258,5.29,16551,443,443,file
568,742.368,57202,8443,8443,web
407,106.893,33849,8443,8443,web
1082,21.95,35682,5005,5005,video
1061,30.914,32787,5005,5005,video
1142,138.078,10622,8080,8080,web
593,41.969,20208,443,443,web
208,24.843,2646,5061,2646,voip
1079,49.115,29008,5004,5004,video
723,133.493,44097,80,80,web
1269,1.346,10030,989,989,file
1300,3.436,42719,21,21,file
840,52.144,3643,1935,1935,video
997,472.046,42844,80,80,web
1038,20.989,25426,5005,5005,video
190,15.811,49675,10001,10001,voip
1385,129.126,20550,8554,8554,video
381,146.825,8873,443,443,web
180,319.55,35297,8080,8080,web
150,12.984,37449,5060,5060,voip
1176,357.058,42923,8080,8080,web
1498,8.394,36938,443,443,file
118,99.595,56577,5060,5060,voip
1482,4.251,34039,990,990,file
1152,9.26,16157,990,990,file
1273,3.221,20752,8081,8081,file
1120,21.923,29658,1935,1935,video
71,30.079,23014,8443,8443,voip
1177,28.221,29373,8080,8080,video
1283,52.794,16176,443,443,video
60,27.564,37903,10000,10000,voip
261,43.559,38053,10001,10001,voip
220,14.196,62047,5060,5060,voip
60,207.108,45142,443,443,web
937,39.091,5240,1935,1935,video
60,46.272,4339,8443,4339,voip
1376,5.886,62192,989,989,file
329,148.885,59733,8080,8080,web
1287,14.518,56516,443,443,video
897,44.876,3391,8554,3391,video
1180,5.317,47844,20,20,file
529,180.836,18548,8080,8080,web
163,19.463,63984,10000,10000,voip
1184,41.892,2123,5004,2123,video
213,18.314,28809,10002,10002,voip
974,73.858,31179,443,443,web
1402,7.948,51156,989,989,file
1093,71.56,43528,5005,5005,video
931,21.341,53806,1935,1935,video
799,101.47,63909,8080,8080,web
922,277.222,37324,443,443,web
1500,3.854,37255,21,21,file
1383,20.13,50995,5004,5004,video
122,38.072,52278,10001,10001,voip
342,109.563,45642,443,443,web
143,15.274,18513,10000,10000,voip
229,15.462,24418,5060,5060,voip
1190,46.809,48750,1935,1935,video
872,282.376,45114,8080,8080,web
980,46.673,28347,5005,5005,video
1452,21.52,42547,8443,8443,video
60,5.488,63735,10002,10002,voip
106,30.901,3661,10000,3661,voip
733,311.296,18964,8443,8443,web
971,459.49,12877,8443,8443,web
1213,6.839,5618,20,20,file
148,23.831,62768,8443,8443,voip
552,849.618,18279,443,443,web
135,9.245,55847,10001,10001,voip
181,5.748,3893,10002,3893,voip
335,60.055,15414,10000,10000,voip
230,10.548,24071,5060,5060,voip
1494,1.458,12075,443,443,file
675,330.729,5885,8443,5885,web
168,19.024,55979,5061,5061,voip
448,148.64,48638,80,80,web
892,570.165,19560,443,443,web
523,251.704,53771,443,443,web
307,190.182,63988,8080,8080,web
580,78.972,45169,80,80,web
1239,5.699,38997,8080,8080,file
848,464.093,23805,8443,8443,web
1500,35.462,59637,5004,5004,video
523,247.063,25457,443,443,web
1104,23.563,11159,8554,8554,video
1416,1.408,5966,443,443,file
258,12.619,20555,8080,8080,voip
887,89.745,61979,5005,5005,video
1140,14.52,54372,8443,8443,video
1409,6.135,11312,990,990,file
935,95.085,39778,8443,8443,web
97,17.258,42070,5060,5060,voip
525,148.754,14533,8443,8443,web
1428,11.396,31429,20,20,file
346,229.122,9147,8443,8443,web
1039,45.567,43782,1935,1935,video
1079,246.323,17736,8080,8080,web
394,322.765,54965,80,80,web
891,181.083,59898,443,443,web
179,15.574,2389,8443,2389,voip
707,255.678,49269,80,80,web
168,13.122,16631,5061,5061,voip
205,8.373,35937,10002,10002,voip
226,19.116,2933,10000,2933,voip
203,18.204,35245,10000,10000,voip
1388,36.821,1776,5005,1776,video
1412,1.688,21433,8443,8443,file
175,19.634,64352,10000,10000,voip
1262,4.818,23418,8443,8443,file
1070,39.5,42950,5004,5004,video
169,6.656,39643,5060,5060,voip
1225,388.648,62943,80,80,web
1207,422.056,18593,80,80,web
117,16.674,55964,5060,5060,voip
1408,9.025,50059,443,443,file
1010,250.085,40142,8080,8080,web
1047,34.001,7855,8554,7855,video
1221,37.066,17044,5005,5005,video
139,25.881,6789,8080,6789,voip
943,49.567,43393,80,80,web
123,9.258,35788,10002,10002,voip
1248,175.482,9551,5004,5004,video
1173,37.429,55384,8443,8443,video
1099,58.396,60834,5004,5004,video
1500,18.697,3068,8080,3068,file
1182,25.289,16540,5004,5004,video
155,20.808,2715,10002,2715,voip
1382,30.489,53572,8554,8554,video
113,10.031,59981,10002,10002,voip
597,202.32,29221,8443,8443,web
1278,36.275,40870,8080,8080,video
188,14.028,59379,10000,10000,voip
1194,133.775,42718,443,443,video
1370,312.015,18510,8443,8443,web
107,28.065,36274,5060,5060,voip
974,230.397,15974,8080,8080,web
974,303.687,55261,8443,8443,web
243,13.819,14915,5060,5060,voip
1459,6.425,9223,20,20,file
182,10.078,35519,8080,8080,voip
185,36.094,37739,5060,5060,voip
1266,2.342,5045,8081,5045,file
298,639.926,60519,8080,8080,web
1040,29.582,13700,443,443,video
1170,5.886,10258,8081,8081,file
482,104.954,52786,443,443,web
60,4.688,6645,10002,6645,voip
1306,3.417,3961,8443,3961,file
652,75.801,27237,8443,8443,web
950,280.309,11173,443,443,web
1114,46.154,5301,8443,5301,video
933,14.467,25622,8080,8080,video
1488,39.558,13948,5005,5005,video
1242,56.744,3169,5004,3169,video
1300,7.306,23975,20,20,file
194,36.54,12040,10000,10000,voip
825,25.194,29377,5004,5004,video
197,19.714,47752,5060,5060,voip
252,36.394,13876,5061,5061,voip
823,227.051,10249,80,80,web
288,119.053,11721,443,443,web
1367,64.193,17103,443,443,video
1500,3.274,10484,989,989,file
1444,32.156,38086,5005,5005,video
1407,15.386,33987,8443,8443,video
1150,11.355,23191,21,21,file
703,59.014,8637,8554,8554,video
148,11.435,6058,10000,6058,voip
826,6.09,39013,21,21,file
177,11.375,50116,5060,5060,voip
394,319.971,41355,443,443,web
129,44.152,58538,10001,10001,voip
152,14.755,7176,443,443,voip
300,701.116,37631,80,80,web
422,152.031,2206,8080,2206,web
1386,1.579,52647,990,990,file
201,292.196,38992,8443,8443,web
121,18.002,9497,10001,9497,voip
296,476.905,63247,443,443,web
207,20.251,40486,5060,5060,voip
1355,3.257,48298,443,443,file
297,325.821,39855,8080,8080,web
1500,2.689,25645,443,443,file
131,15.841,20207,10000,10000,voip
1253,21.309,58713,443,443,video
1487,3.874,48200,8080,8080,file
451,761.31,33021,8080,8080,web
1199,1.54,9255,990,990,file
1191,18.748,51185,5005,5005,video
951,55.989,56027,80,80,web
313,455.28,37260,8443,8443,web
250,12.589,20686,10002,10002,voip
1233,26.955,25612,8554,8554,video
1301,3.961,32706,20,20,file
208,120.011,47869,8080,8080,web
144,23.394,42088,5060,5060,voip
923,337.978,56061,80,80,web
141,9.559,35539,443,443,voip
1242,1.562,43531,990,990,file
784,17.183,1856,5005,1856,video
1208,10.821,41556,8081,8081,file
148,15.981,15044,5060,5060,voip
1406,1.684,30464,443,443,file
1500,1.253,34135,443,443,file
198,8.111,20643,8443,8443,voip
418,41.677,19793,10001,10001,voip
688,178.849,45740,80,80,web
181,8.337,51676,5060,5060,voip
1147,7.492,45610,8080,8080,file
633,169.793,2681,8080,2681,web
1346,4.031,24267,8080,8080,file
211,168.249,29671,8443,8443,web
1023,1.305,3481,443,443,file
442,158.765,63244,80,80,web
1046,35.859,19256,1935,1935,video
234,30.443,7903,8443,7903,voip
993,153.249,58660,8443,8443,web
160,11.301,50871,10002,10002,voip
226,10.109,8844,443,443,voip
240,122.263,2661,8080,2661,web
1500,2.907,10496,8081,8081,file
119,10.08,41021,5060,5060,voip
219,12.21,50054,10001,10001,voip
197,18.269,23559,8080,8080,voip
112,42.203,17618,5060,5060,voip
1500,8.326,39620,20,20,file
143,33.976,34244,8080,8080,voip
923,7.509,63443,443,443,file
175,28.188,28298,10001,10001,voip
553,405.58,11391,8443,8443,web
1376,13.081,47353,8080,8080,video
462,274.708,50417,80,80,web
1437,42.468,16961,443,443,video
1445,7.562,25892,21,21,file
158,18.987,53340,10002,10002,voip
1275,1.69,17644,8080,8080,file
1156,6.372,56743,443,443,file
886,313.386,42261,8080,8080,web
1314,33.316,30028,5005,5005,video
136,11.542,63705,10000,10000,voip
876,486.953,52951,8080,8080,web
1355,3.361,51669,20,20,file
1383,47.924,64871,8080,8080,video
1049,122.17,30915,80,80,web
194,9.325,18401,5060,5060,voip
1075,22.013,45260,8554,8554,video
218,11.244,38644,8443,8443,voip
143,25.897,60425,5060,5060,voip
221,455.027,12763,8080,8080,web
1284,12.54,19394,8080,8080,file
1466,5.835,20963,8081,8081,file
950,191.904,43798,80,80,web
318,218.561,53714,8443,8443,web
982,120.623,39020,80,80,web
680,286.178,36809,443,443,web
447,97.304,38621,443,443,web
1349,2.124,54468,21,21,file
911,165.591,26656,8080,8080,web
1044,11.449,51069,990,990,file
233,16.58,39083,5061,5061,voip
60,20.475,2019,5061,2019,voip
223,16.071,64316,443,443,voip
240,19.257,20080,10000,10000,voip
108,7.82,47660,5060,5060,voip
983,182.128,44951,8080,8080,web
813,400.597,17799,8443,8443,web
1360,4.094,12974,21,21,file
160,20.312,45474,10000,10000,voip
224,33.261,22623,8443,8443,voip
1205,36.362,4360,443,443,video
1478,7.005,2604,990,990,file
572,200.438,19864,80,80,web
1351,46.958,7331,8554,7331,video
146,27.119,63504,5060,5060,voip
1310,12.083,60486,990,990,file
153,13.223,55238,10000,10000,voip
1352,1.276,64331,20,20,file
163,16.531,12215,8443,8443,voip
1153,8.386,54977,20,20,file
157,12.924,64758,10000,10000,voip
77,39.378,32983,10000,10000,voip
1500,1.143,43529,8080,8080,file
177,172.921,54525,8443,8443,web
1300,3.123,36199,990,990,file
1056,20.701,42376,8554,8554,video
198,25.707,12040,5060,5060,voip
1076,11.674,8870,1935,1935,video
289,210.598,33087,8080,8080,web
1067,48.103,53182,5005,5005,video
932,106.397,55456,8080,8080,web
118,19.926,11169,10000,10000,voip
1500,36.752,43171,1935,1935,video
1500,7.343,47221,21,21,file
959,489.17,7784,80,80,web
1500,5.085,14454,20,20,file
175,17.482,7228,5060,5060,voip
1500,5.548,30033,21,21,file
935,4.57,56295,990,990,file
1374,12.718,29500,443,443,file
1447,2.621,35896,20,20,file
174,24.586,53561,443,443,voip
1129,31.581,40102,8080,8080,video
172,10.441,10319,5060,5060,voip
1382,19.626,52062,1935,1935,video
1204,4.822,36525,21,21,file
1059,44.873,19926,443,443,video
1167,1.293,19420,8081,8081,file
1010,17.999,2015,8554,2015,video
1221,19.716,1201,5004,1201,video
717,467.791,19062,8443,8443,web
1293,175.023,48022,8443,8443,web
183,17.185,10605,10001,10001,voip
193,24.046,21388,8080,8080,voip
180,11.598,15662,8443,8443,voip
1472,8.388,39958,990,990,file
1242,97.717,15410,443,443,video
414,328.531,10847,80,80,web
187,37.942,21897,8443,8443,voip
1391,3.025,53879,990,990,file
697,163.262,17187,80,80,web
226,466.697,61046,80,80,web
1500,6.12,62014,8443,8443,file
1382,2.285,57612,21,21,file
761,27.6,12026,443,443,video
1316,4.907,37749,8080,8080,file
1311,2.616,14740,990,990,file
243,27.27,4741,10002,4741,voip
113,19.743,23721,8080,8080,voip
941,582.33,50890,8443,8443,web
96,24.06,48414,8443,8443,voip
934,62.869,7021,443,443,web
1094,43.091,63649,8080,8080,video
1084,63.147,35713,8080,8080,video
998,19.442,19527,5004,5004,video
901,112.71,50092,80,80,web
1369,4.076,51570,8080,8080,file
1500,6.687,40546,8081,8081,file
150,23.108,8937,5061,5061,voip
161,19.769,47248,10001,10001,voip
1461,25.765,27018,443,443,web
175,20.656,54144,10000,10000,voip
933,419.711,1339,8443,1339,web
1500,2.047,28212,8081,8081,file
229,13.362,30543,5060,5060,voip
221,13.955,34610,10001,10001,voip
921,24.648,46693,1935,1935,video
261,15.131,54138,10000,10000,voip
1304,24.032,36574,443,443,file
629,236.761,50227,8080,8080,web
1127,639.08,53672,8080,8080,web
1085,27.545,29812,5005,5005,video
170,30.574,20280,10000,10000,voip
142,9.648,40902,443,443,voip
247,11.529,46484,10001,10001,voip
138,15.619,45393,5061,5061,voip
1500,4.325,51199,989,989,file
576,235.384,53522,443,443,web
1232,9.078,9632,8081,8081,file
969,183.632,32479,443,443,web
248,9.473,13223,10001,10001,voip
1429,4.842,50147,8080,8080,file
287,14.454,61815,10001,10001,voip
652,284.703,44929,80,80,web
1090,17.506,43917,5005,5005,video
983,24.144,64563,443,443,video
208,15.568,41901,10002,10002,voip
1500,5.313,52248,990,990,file
1324,6.305,37554,21,21,file
1347,5.817,24084,20,20,file
110,20.562,29095,5061,5061,voip
806,64.758,46323,80,80,web
526,631.118,8336,443,443,web
1264,27.768,6781,1935,1935,video
173,27.857,22614,5061,5061,voip
426,41.441,63428,8080,8080,web
1241,11.113,41705,20,20,file
884,258.478,26763,8443,8443,web
234,288.475,5176,8443,5176,web
1156,60.38,28832,80,80,web
238,23.363,43823,5060,5060,voip
205,19.968,22005,8443,8443,voip
91,3.198,35110,10002,10002,voip
487,465.058,63906,8443,8443,web
193,15.967,20237,10000,10000,voip
155,16.952,50989,10002,10002,voip
571,44.087,15373,443,443,web
1272,5.807,58820,990,990,file
1411,5.413,49033,20,20,file
1500,42.398,3465,8443,3465,video
193,39.911,60925,5061,5061,voip
1016,34.326,35733,5004,5004,video
813,76.341,42710,8443,8443,web
984,24.209,11021,1935,1935,video
789,496.06,13737,8080,8080,web
472,145.084,57174,8080,8080,web
1029,149.246,45771,443,443,web
1407,5.061,29635,8443,8443,file
224,343.2,28423,443,443,web
1109,36.072,61287,8554,8554,video
771,83.706,37302,443,443,web
907,57.717,18836,8554,8554,video
1401,3.57,54720,443,443,file
702,404.28,21221,8443,8443,web
1060,14.378,46240,443,443,video
583,235.012,13579,443,443,web
1500,8.502,63381,989,989,file
258,20.249,64875,443,443,voip
1500,2.532,64089,990,990,file
1213,71.948,8679,443,443,video
1263,18.286,24910,8554,8554,video
193,27.28,18638,8080,8080,voip
558,655.394,19863,443,443,web
689,14.18,11213,5004,5004,video
1061,270.11,63059,80,80,web
528,7.614,25837,8080,8080,voip
646,59.665,50578,443,443,web
1152,30.331,18489,8080,8080,video
1500,3.18,16186,8081,8081,file
60,31.065,18992,10000,10000,voip
792,38.351,40937,8080,8080,web
1310,4.165,7330,989,989,file
1380,43.644,36990,8443,8443,video
189,18.437,54056,5060,5060,voip
295,1000.0,60558,80,80,web
791,369.167,61186,443,443,web
1311,34.1,2911,5005,2911,video
575,370.164,59743,443,443,web
1429,29.643,62250,5005,5005,video
1110,153.673,19022,8554,8554,video
214,10.201,43339,8443,8443,voip
442,532.855,31115,80,80,web
720,255.37,28618,443,443,web
1161,4.159,39460,8080,8080,file
1471,3.056,10085,20,20,file
1500,0.762,35219,21,21,file
180,17.108,16337,443,443,voip
892,458.727,23370,443,443,web
616,237.836,38776,443,443,web
201,14.109,40074,10001,10001,voip
975,489.217,54303,80,80,web
954,19.371,21643,8554,8554,video
619,267.909,34800,8080,8080,web
1500,33.732,21410,5005,5005,video
211,25.723,13005,5061,5061,voip
1500,3.122,8663,20,20,file
1038,38.861,53680,5004,5004,video
1500,4.076,5057,8443,5057,file
1500,4.849,36440,8081,8081,file
181,17.687,16563,10001,10001,voip
244,13.634,13217,10000,10000,voip
1500,1.593,44244,443,443,file
338,118.289,52953,8080,8080,web
596,238.751,64884,80,80,web
1026,114.819,37287,443,443,web
1463,3.277,19586,989,989,file
958,31.527,61092,443,443,video
133,19.704,33283,10002,10002,voip
1273,15.14,47028,8080,8080,video
409,198.711,61188,8080,8080,web
656,173.115,54915,8443,8443,web
781,416.086,6238,443,443,web
1002,50.84,20203,443,443,web
579,108.704,15088,443,443,web
165,28.004,60416,8443,8443,voip
144,17.572,25914,10002,10002,voip
1087,41.167,6989,8080,6989,video
965,653.63,1440,8080,1440,web
495,101.036,39750,8080,8080,web
1264,20.255,27380,5004,5004,video
381,474.047,25828,8443,8443,web
126,13.589,43497,443,443,voip
179,52.096,18744,8080,8080,web
147,15.918,56459,10001,10001,voip
201,14.938,19636,10002,10002,voip
1458,166.479,37952,5005,5005,video
1500,5.667,41105,989,989,file
1498,1.248,38100,8080,8080,file
1279,3.277,2830,20,20,file
778,3.559,33080,989,989,file
1012,736.055,42650,80,80,web
244,100.177,38928,80,80,web
710,395.43,6974,8080,6974,web
1319,17.48,47146,1935,1935,video
1306,2.159,18290,20,20,file
175,16.371,33520,10001,10001,voip
1070,301.342,10105,8080,8080,web
806,718.724,61962,443,443,web
1037,48.213,59810,8080,8080,video
1465,3.714,62527,990,990,file
1227,2.278,26544,21,21,file
1100,18.269,52573,8443,8443,video
1024,31.232,64707,5005,5005,video
1489,1.331,15619,8080,8080,file
1019,165.252,61317,8443,8443,web
290,8.813,38223,10000,10000,voip
158,18.617,8008,5060,5060,voip
1051,4.792,39665,989,989,file
1473,3.604,18465,20,20,file
217,26.094,23056,10001,10001,voip
701,69.752,56402,8443,8443,web
1369,26.828,42451,5005,5005,video
244,58.742,20366,8080,8080,voip
1179,2.396,28273,8080,8080,file
606,543.055,14498,8443,8443,web
295,30.459,35213,10002,10002,voip
172,19.514,26048,8443,8443,voip
1012,43.911,62188,5005,5005,video
1305,3.471,5499,20,20,file
