controller,event_id,traffic_type,src,dst,path,throughput_mbps,delay_ms,install_ms,cpu_percent,rerouted,congestion_handled,overloaded_links
ryu,238,file,h5,h6,s5->s2->s3->s6,7.632,17.31,41.429,23.872,False,False,0
ryu,239,web,h1,h3,s1->s2->s3,0.964,9.789,45.118,18.715,False,False,0
pox,0,voip,h4,h2,s4->s3->s2,0.11,9.44,80.293,15.047,False,False,0
pox,1,video,h4,h6,s4->s3->s6,5.167,16.526,45.251,17.795,False,False,0
pox,2,file,h4,h6,s4->s5->s6,2.606,25.823,45.911,18.148,False,False,0
pox,3,voip,h4,h2,s4->s3->s2,0.107,12.267,49.165,16.584,False,False,0
pox,4,voip,h4,h2,s4->s3->s2,0.123,11.725,44.781,14.969,False,False,0
pox,5,file,h6,h5,s6->s3->s2->s5,3.299,18.343,43.22,19.821,False,False,1
pox,6,file,h4,h6,s4->s5->s6,4.691,25.724,46.208,14.988,False,False,0
pox,7,file,h4,h6,s4->s5->s6,5.108,24.61,47.391,18.565,False,False,0
pox,8,file,h4,h6,s4->s5->s6,5.098,24.773,43.635,14.168,False,False,0
pox,9,file,h4,h6,s4->s5->s6,5.547,22.699,42.757,17.316,False,False,0
pox,10,voip,h2,h3,s2->s3,0.112,5.594,45.209,16.178,False,False,0
pox,11,file,h6,h5,s6->s3->s2->s5,7.968,16.907,46.085,15.444,False,False,0
pox,12,voip,h4,h2,s4->s3->s2,0.115,11.451,45.041,18.038,False,False,0
pox,13,video,h4,h6,s4->s3->s6,5.295,13.233,43.894,15.932,False,False,0
pox,14,file,h3,h6,s3->s4->s1->s2->s5->s6,0.728,50.633,42.202,24.826,False,False,3
pox,15,web,h5,h2,s5->s4->s3->s2,0.643,29.399,44.989,22.486,False,False,3
pox,16,video,h4,h6,s4->s1->s2->s3->s6,0.696,30.94,42.995,22.632,True,True,4
pox,17,file,h3,h6,s3->s2->s1->s6,5.577,30.418,44.339,21.804,True,True,3
pox,18,video,h4,h6,s4->s3->s6,0.807,18.173,45.058,23.542,True,True,3
pox,19,voip,h3,h4,s3->s4,0.115,11.948,45.54,19.003,False,False,2
pox,20,web,h5,h2,s5->s2,0.909,8.716,42.09,19.482,True,True,2
pox,21,file,h3,h6,s3->s2->s1->s6,6.717,28.285,44.649,18.884,False,False,0
pox,22,file,h3,h6,s3->s2->s1->s6,7.344,28.251,43.661,18.476,False,False,0
pox,23,voip,h4,h3,s4->s3,0.111,11.313,42.222,17.065,False,False,0
pox,24,file,h6,h3,s6->s3,1.091,8.568,46.106,18.537,False,False,1
pox,25,file,h4,h6,s4->s5->s6,5.983,23.239,47.91,19.9,False,False,1
pox,26,web,h3,h6,s3->s2->s5->s6,0.66,28.652,42.334,23.24,False,False,4
pox,27,voip,h3,h4,s3->s4,0.12,9.21,43.283,18.977,False,False,2
pox,28,video,h4,h6,s4->s3->s6,4.751,14.981,41.333,20.834,False,False,2
pox,29,voip,h4,h2,s4->s3->s2,0.106,14.999,41.361,15.323,False,False,0
pox,30,voip,h3,h4,s3->s4,0.111,9.791,43.886,14.632,False,False,0
pox,31,web,h3,h6,s3->s2->s5->s6,0.886,25.007,36.395,18.295,False,False,0
pox,32,video,h1,h2,s1->s2,5.547,4.942,42.487,15.634,False,False,0
pox,33,video,h4,h6,s4->s3->s6,5.671,14.922,41.156,18.468,False,False,0
pox,34,video,h1,h2,s1->s2,5.761,4.24,30.731,18.625,False,False,0
pox,35,file,h6,h5,s6->s3->s2->s5,7.38,18.872,45.804,14.888,False,False,0
pox,36,web,h3,h6,s3->s2->s5->s6,0.916,22.803,43.727,14.555,False,False,0
pox,37,voip,h2,h6,s2->s3->s6,0.109,10.355,46.027,14.304,False,False,0
pox,38,file,h5,h3,s5->s4->s3,0.73,25.241,48.595,21.461,False,False,2
pox,39,video,h3,h5,s3->s2->s5,4.558,13.853,44.011,22.189,False,False,2
pox,40,voip,h4,h3,s4->s3,0.115,11.611,47.324,18.843,False,False,1
pox,41,file,h4,h6,s4->s1->s6,6.153,32.514,45.614,14.175,True,True,0
pox,42,voip,h2,h3,s2->s3,0.106,5.173,50.524,18.151,False,False,0
pox,43,file,h5,h3,s5->s4->s3,3.804,22.359,46.507,18.208,False,False,0
pox,44,file,h1,h3,s1->s2->s3,4.39,11.62,50.794,19.251,False,False,1
pox,45,file,h3,h6,s3->s6,13.399,6.217,41.707,17.767,True,True,0
pox,46,video,h4,h6,s4->s3->s6,5.919,13.87,47.689,15.566,False,False,0
pox,47,voip,h3,h4,s3->s4,0.112,9.362,47.357,15.509,False,False,0
pox,48,file,h4,h3,s4->s5->s6->s3,0.666,34.699,46.347,20.486,False,False,2
pox,49,voip,h6,h4,s6->s3->s4,0.108,16.588,47.761,21.335,False,False,2
pox,50,voip,h2,h6,s2->s3->s6,0.118,11.655,41.683,18.731,False,False,2
pox,51,voip,h6,h3,s6->s3,0.123,6.96,47.757,18.78,False,False,0
pox,52,video,h3,h5,s3->s2->s5,5.565,12.451,42.941,14.027,False,False,0
pox,53,voip,h2,h3,s2->s3,0.111,4.942,37.062,15.067,False,False,0
pox,54,file,h4,h6,s4->s1->s6,7.537,29.451,47.35,17.408,False,False,0
pox,55,web,h5,h2,s5->s2,0.993,8.329,45.941,16.108,False,False,0
pox,56,file,h4,h3,s4->s5->s6->s3,5.015,28.596,47.341,17.934,False,False,0
pox,57,web,h4,h1,s4->s1,1.029,16.712,35.172,19.849,False,False,1
pox,58,file,h3,h6,s3->s6,12.104,5.519,42.165,17.539,False,False,1
pox,59,voip,h4,h2,s4->s3->s2,0.118,12.878,45.261,15.055,False,False,0
pox,60,file,h1,h3,s1->s2->s3,16.186,9.018,46.114,14.412,False,False,0
pox,61,file,h4,h3,s4->s5->s6->s3,7.067,27.809,48.888,18.854,False,False,0
pox,62,file,h4,h1,s4->s3->s2->s1,2.239,20.088,42.731,17.104,False,False,1
pox,63,file,h2,h3,s2->s5->s6->s3,0.669,27.872,48.934,19.304,False,False,1
pox,64,video,h1,h3,s1->s2->s3,1.347,11.007,46.442,24.624,False,False,3
pox,65,video,h1,h4,s1->s4,0.739,17.578,42.71,25.775,False,False,4
pox,66,file,h5,h3,s5->s4->s3,0.645,26.086,43.266,22.273,False,False,4
pox,67,file,h4,h6,s4->s1->s6,1.003,35.376,48.098,20.299,True,True,3
pox,68,video,h1,h3,s1->s2->s3,5.825,11.523,47.868,23.682,False,False,3
pox,69,video,h4,h6,s4->s3->s6,0.871,18.778,42.729,24.024,True,True,3
pox,70,file,h1,h5,s1->s2->s5,1.035,16.001,41.848,23.343,False,False,3
pox,71,file,h5,h6,s5->s6,0.695,15.533,47.891,25.121,False,False,4
pox,72,file,h3,h6,s3->s6,6.581,6.578,44.749,21.785,False,False,3
